col1,col2,col3,col4
Konica 7020 Networkable Commercial Printer/Copier/Fax/Scanner,$100,Jan 13,https://bend.craigslist.org/sop/d/bend-konica-7020-networkable-commercial/7053832188.html
HP Officejet 150 Mobile All-in-One Printer,$160,Jan 9,https://bend.craigslist.org/ele/d/redmond-hp-officejet-150-mobile-all-in/7053167588.html
Wireless Thermal Label Printer,$150,Jan 8,https://bend.craigslist.org/ele/d/bend-wireless-thermal-label-printer/7039119894.html
Various Audio/Video/WiFi & Epson Printer,$400,Jan 5,https://bend.craigslist.org/ele/d/bend-various-audio-video-wifi-epson/7050425563.html
Canon color laser printer,$125,Dec 26,https://bend.craigslist.org/sop/d/bend-canon-color-laser-printer/7044742082.html
Brother Color Laser Printer,$150,Dec 20,https://bend.craigslist.org/sys/d/bend-brother-color-laser-printer/7042181694.html
"* HP Designjet 1055cm Color Plotter - 36""",$395,Jan 10,https://bend.craigslist.org/bfs/d/bend-hp-designjet-1055cm-color-plotter/7053482569.html
HP pagewide Pro 750dw,$300,Jan 9,https://bend.craigslist.org/ele/d/bend-hp-pagewide-pro-750dw/7053032886.html
Brother MFC-J430w color inkjet all-in-one print/scan/copy/fax,$125,Dec 16,https://bend.craigslist.org/ele/d/bend-brother-mfc-j430w-color-inkjet-all/7034988320.html
Printer Copier CS748de,$150,Dec 4,https://bend.craigslist.org/ele/d/bend-printer-copier-cs748de/7018867018.html
Portable Receipt Printer - SM-T300I - Blue Tooth - Like New,$195,Dec 1,https://bend.craigslist.org/ele/d/bend-portable-receipt-printer-sm-t300i/7030347556.html
Antique Rare Victorian Print,$250,Dec 2,https://bend.craigslist.org/atq/d/redmond-antique-rare-victorian-print/7030581283.html
